,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
14449993,VPRT,2005-09-30,12.27,15.71,12.01,15.25,5356800.0,0.0,1.0,12.27,15.71,12.01,15.25,5356800.0
14449994,VPRT,2005-10-03,15.25,15.47,14.4,14.75,730600.0,0.0,1.0,15.25,15.47,14.4,14.75,730600.0
14449995,VPRT,2005-10-04,15.0,15.0,14.0,14.0,536400.0,0.0,1.0,15.0,15.0,14.0,14.0,536400.0
14449996,VPRT,2005-10-05,14.5,14.6,14.0,14.21,134000.0,0.0,1.0,14.5,14.6,14.0,14.21,134000.0
14449997,VPRT,2005-10-06,14.14,14.5,14.0,14.3,114600.0,0.0,1.0,14.14,14.5,14.0,14.3,114600.0
14449998,VPRT,2005-10-07,14.2,14.23,14.0,14.11,274200.0,0.0,1.0,14.2,14.23,14.0,14.11,274200.0
14449999,VPRT,2005-10-10,14.0,14.28,14.0,14.1,241100.0,0.0,1.0,14.0,14.28,14.0,14.1,241100.0
14450000,VPRT,2005-10-11,14.06,14.28,14.0,14.15,155400.0,0.0,1.0,14.06,14.28,14.0,14.15,155400.0
14450001,VPRT,2005-10-12,14.0,14.13,14.0,14.11,322400.0,0.0,1.0,14.0,14.13,14.0,14.11,322400.0
14450002,VPRT,2005-10-13,14.07,14.95,14.07,14.79,75000.0,0.0,1.0,14.07,14.95,14.07,14.79,75000.0
14450003,VPRT,2005-10-14,14.95,15.1,14.59,14.59,135100.0,0.0,1.0,14.95,15.1,14.59,14.59,135100.0
14450004,VPRT,2005-10-17,14.87,14.99,14.5,14.75,17700.0,0.0,1.0,14.87,14.99,14.5,14.75,17700.0
14450005,VPRT,2005-10-18,14.68,15.0,14.55,14.9,51500.0,0.0,1.0,14.68,15.0,14.55,14.9,51500.0
14450006,VPRT,2005-10-19,14.95,15.74,14.75,15.5,33900.0,0.0,1.0,14.95,15.74,14.75,15.5,33900.0
14450007,VPRT,2005-10-20,15.32,16.22,15.3,15.45,196000.0,0.0,1.0,15.32,16.22,15.3,15.45,196000.0
14450008,VPRT,2005-10-21,15.41,15.79,15.31,15.31,186700.0,0.0,1.0,15.41,15.79,15.31,15.31,186700.0
14450009,VPRT,2005-10-24,15.31,15.62,15.26,15.44,4900.0,0.0,1.0,15.31,15.62,15.26,15.44,4900.0
14450010,VPRT,2005-10-25,15.45,15.83,14.9,15.6,280500.0,0.0,1.0,15.45,15.83,14.9,15.6,280500.0
14450011,VPRT,2005-10-26,15.45,17.29,15.45,16.8,579200.0,0.0,1.0,15.45,17.29,15.45,16.8,579200.0
14450012,VPRT,2005-10-27,17.39,17.64,16.8,17.45,85000.0,0.0,1.0,17.39,17.64,16.8,17.45,85000.0
14450013,VPRT,2005-10-28,17.31,17.5,16.84,17.45,156700.0,0.0,1.0,17.31,17.5,16.84,17.45,156700.0
14450014,VPRT,2005-10-31,16.98,17.28,16.47,16.93,382400.0,0.0,1.0,16.98,17.28,16.47,16.93,382400.0
14450015,VPRT,2005-11-01,16.85,17.45,16.54,17.29,155100.0,0.0,1.0,16.85,17.45,16.54,17.29,155100.0
14450016,VPRT,2005-11-02,17.15,18.87,17.15,18.0,213000.0,0.0,1.0,17.15,18.87,17.15,18.0,213000.0
14450017,VPRT,2005-11-03,18.14,18.22,17.17,17.71,83100.0,0.0,1.0,18.14,18.22,17.17,17.71,83100.0
14450018,VPRT,2005-11-04,18.0,18.25,17.83,17.83,30100.0,0.0,1.0,18.0,18.25,17.83,17.83,30100.0
14450019,VPRT,2005-11-07,17.79,18.55,17.69,18.16,46100.0,0.0,1.0,17.79,18.55,17.69,18.16,46100.0
14450020,VPRT,2005-11-08,18.2,18.44,18.16,18.2,29400.0,0.0,1.0,18.2,18.44,18.16,18.2,29400.0
14450021,VPRT,2005-11-09,18.93,19.5,18.3,18.4,86100.0,0.0,1.0,18.93,19.5,18.3,18.4,86100.0
14450022,VPRT,2005-11-10,18.5,18.5,17.62,18.4,83300.0,0.0,1.0,18.5,18.5,17.62,18.4,83300.0
14450023,VPRT,2005-11-11,18.4,18.5,18.01,18.4,72400.0,0.0,1.0,18.4,18.5,18.01,18.4,72400.0
14450024,VPRT,2005-11-14,19.14,19.14,18.7,18.83,46000.0,0.0,1.0,19.14,19.14,18.7,18.83,46000.0
14450025,VPRT,2005-11-15,19.36,19.36,18.95,19.09,73700.0,0.0,1.0,19.36,19.36,18.95,19.09,73700.0
14450026,VPRT,2005-11-16,19.32,19.74,19.02,19.25,30300.0,0.0,1.0,19.32,19.74,19.02,19.25,30300.0
14450027,VPRT,2005-11-17,19.45,19.7,18.75,18.96,37600.0,0.0,1.0,19.45,19.7,18.75,18.96,37600.0
14450028,VPRT,2005-11-18,18.88,19.26,18.47,18.73,41300.0,0.0,1.0,18.88,19.26,18.47,18.73,41300.0
14450029,VPRT,2005-11-21,18.95,19.49,18.65,18.7,61500.0,0.0,1.0,18.95,19.49,18.65,18.7,61500.0
14450030,VPRT,2005-11-22,18.73,18.73,17.22,18.41,91400.0,0.0,1.0,18.73,18.73,17.22,18.41,91400.0
14450031,VPRT,2005-11-23,18.23,18.63,18.2,18.51,23000.0,0.0,1.0,18.23,18.63,18.2,18.51,23000.0
14450032,VPRT,2005-11-25,18.23,18.4,18.02,18.23,40700.0,0.0,1.0,18.23,18.4,18.02,18.23,40700.0
14450033,VPRT,2005-11-28,18.0,18.19,17.49,18.02,105800.0,0.0,1.0,18.0,18.19,17.49,18.02,105800.0
14450034,VPRT,2005-11-29,17.79,19.0,17.79,18.42,124800.0,0.0,1.0,17.79,19.0,17.79,18.42,124800.0
14450035,VPRT,2005-11-30,18.35,18.35,17.55,18.16,80500.0,0.0,1.0,18.35,18.35,17.55,18.16,80500.0
14450036,VPRT,2005-12-01,18.23,18.46,17.85,17.94,54300.0,0.0,1.0,18.23,18.46,17.85,17.94,54300.0
14450037,VPRT,2005-12-02,18.1,19.1,18.09,19.0,65200.0,0.0,1.0,18.1,19.1,18.09,19.0,65200.0
14450038,VPRT,2005-12-05,19.14,19.14,18.85,19.0,12800.0,0.0,1.0,19.14,19.14,18.85,19.0,12800.0
14450039,VPRT,2005-12-06,18.79,20.89,18.46,19.8,225400.0,0.0,1.0,18.79,20.89,18.46,19.8,225400.0
14450040,VPRT,2005-12-07,20.25,20.52,19.63,20.0,190900.0,0.0,1.0,20.25,20.52,19.63,20.0,190900.0
14450041,VPRT,2005-12-08,20.45,20.45,20.01,20.3,192400.0,0.0,1.0,20.45,20.45,20.01,20.3,192400.0
14450042,VPRT,2005-12-09,20.23,20.48,20.23,20.48,77000.0,0.0,1.0,20.23,20.48,20.23,20.48,77000.0
14450043,VPRT,2005-12-12,20.63,21.25,20.41,20.95,246600.0,0.0,1.0,20.63,21.25,20.41,20.95,246600.0
14450044,VPRT,2005-12-13,20.8,20.94,20.79,20.94,67200.0,0.0,1.0,20.8,20.94,20.79,20.94,67200.0
14450045,VPRT,2005-12-14,21.17,21.4,20.95,21.17,105700.0,0.0,1.0,21.17,21.4,20.95,21.17,105700.0
14450046,VPRT,2005-12-15,21.43,22.0,21.33,21.95,22700.0,0.0,1.0,21.43,22.0,21.33,21.95,22700.0
14450047,VPRT,2005-12-16,21.47,22.26,21.47,22.26,33700.0,0.0,1.0,21.47,22.26,21.47,22.26,33700.0
14450048,VPRT,2005-12-19,22.26,22.45,21.81,22.35,125800.0,0.0,1.0,22.26,22.45,21.81,22.35,125800.0
14450049,VPRT,2005-12-20,22.35,22.42,22.17,22.3,118800.0,0.0,1.0,22.35,22.42,22.17,22.3,118800.0
14450050,VPRT,2005-12-21,22.3,22.83,22.3,22.37,111200.0,0.0,1.0,22.3,22.83,22.3,22.37,111200.0
14450051,VPRT,2005-12-22,22.54,22.61,22.21,22.33,97700.0,0.0,1.0,22.54,22.61,22.21,22.33,97700.0
14450052,VPRT,2005-12-23,22.33,22.46,22.17,22.35,109000.0,0.0,1.0,22.33,22.46,22.17,22.35,109000.0
14450053,VPRT,2005-12-27,22.47,22.47,21.58,21.91,109700.0,0.0,1.0,22.47,22.47,21.58,21.91,109700.0
14450054,VPRT,2005-12-28,21.9,22.05,21.08,21.86,52200.0,0.0,1.0,21.9,22.05,21.08,21.86,52200.0
14450055,VPRT,2005-12-29,21.59,22.42,21.31,22.22,91000.0,0.0,1.0,21.59,22.42,21.31,22.22,91000.0
14450056,VPRT,2005-12-30,22.44,22.77,22.23,22.75,55800.0,0.0,1.0,22.44,22.77,22.23,22.75,55800.0
14450057,VPRT,2006-01-03,22.75,23.52,22.36,23.09,360600.0,0.0,1.0,22.75,23.52,22.36,23.09,360600.0
14450058,VPRT,2006-01-04,23.15,23.29,22.82,23.17,101500.0,0.0,1.0,23.15,23.29,22.82,23.17,101500.0
14450059,VPRT,2006-01-05,23.2,23.43,22.78,23.11,158300.0,0.0,1.0,23.2,23.43,22.78,23.11,158300.0
14450060,VPRT,2006-01-06,23.48,24.11,23.48,23.78,161700.0,0.0,1.0,23.48,24.11,23.48,23.78,161700.0
14450061,VPRT,2006-01-09,23.84,23.84,23.11,23.36,182700.0,0.0,1.0,23.84,23.84,23.11,23.36,182700.0
14450062,VPRT,2006-01-10,23.45,23.94,23.14,23.84,129400.0,0.0,1.0,23.45,23.94,23.14,23.84,129400.0
14450063,VPRT,2006-01-11,24.05,26.0,23.91,25.62,352600.0,0.0,1.0,24.05,26.0,23.91,25.62,352600.0
14450064,VPRT,2006-01-12,25.62,25.62,24.4,24.71,343200.0,0.0,1.0,25.62,25.62,24.4,24.71,343200.0
14450065,VPRT,2006-01-13,24.7,25.7,24.7,25.3,167600.0,0.0,1.0,24.7,25.7,24.7,25.3,167600.0
14450066,VPRT,2006-01-17,25.39,26.95,25.3,26.78,69100.0,0.0,1.0,25.39,26.95,25.3,26.78,69100.0
14450067,VPRT,2006-01-18,26.7,27.21,26.47,26.9,196900.0,0.0,1.0,26.7,27.21,26.47,26.9,196900.0
14450068,VPRT,2006-01-19,27.03,28.55,26.97,27.81,190900.0,0.0,1.0,27.03,28.55,26.97,27.81,190900.0
14450069,VPRT,2006-01-20,28.0,28.45,27.85,28.2,260500.0,0.0,1.0,28.0,28.45,27.85,28.2,260500.0
14450070,VPRT,2006-01-23,27.97,28.59,27.97,28.05,141200.0,0.0,1.0,27.97,28.59,27.97,28.05,141200.0
14450071,VPRT,2006-01-24,28.05,28.21,26.21,27.2,279800.0,0.0,1.0,28.05,28.21,26.21,27.2,279800.0
14450072,VPRT,2006-01-25,32.2,32.38,29.9,30.02,1100900.0,0.0,1.0,32.2,32.38,29.9,30.02,1100900.0
14450073,VPRT,2006-01-26,30.0,30.33,29.91,30.01,61100.0,0.0,1.0,30.0,30.33,29.91,30.01,61100.0
14450074,VPRT,2006-01-27,30.2,30.5,29.85,30.3,48600.0,0.0,1.0,30.2,30.5,29.85,30.3,48600.0
14450075,VPRT,2006-01-30,30.45,30.56,29.81,30.04,50100.0,0.0,1.0,30.45,30.56,29.81,30.04,50100.0
14450076,VPRT,2006-01-31,30.1,30.33,29.41,30.23,79800.0,0.0,1.0,30.1,30.33,29.41,30.23,79800.0
14450077,VPRT,2006-02-01,30.34,30.34,29.9,29.9,95400.0,0.0,1.0,30.34,30.34,29.9,29.9,95400.0
14450078,VPRT,2006-02-02,30.0,30.45,29.98,30.39,66500.0,0.0,1.0,30.0,30.45,29.98,30.39,66500.0
14450079,VPRT,2006-02-03,30.18,31.47,30.18,30.98,44500.0,0.0,1.0,30.18,31.47,30.18,30.98,44500.0
14450080,VPRT,2006-02-06,31.0,31.83,30.5,31.71,71300.0,0.0,1.0,31.0,31.83,30.5,31.71,71300.0
14450081,VPRT,2006-02-07,31.85,32.28,31.12,31.84,156300.0,0.0,1.0,31.85,32.28,31.12,31.84,156300.0
14450082,VPRT,2006-02-08,32.08,36.46,31.9,32.51,460400.0,0.0,1.0,32.08,36.46,31.9,32.51,460400.0
14450083,VPRT,2006-02-09,32.69,33.78,32.69,33.42,195200.0,0.0,1.0,32.69,33.78,32.69,33.42,195200.0
14450084,VPRT,2006-02-10,33.42,34.63,32.67,32.68,134900.0,0.0,1.0,33.42,34.63,32.67,32.68,134900.0
14450085,VPRT,2006-02-13,32.82,33.04,32.61,32.92,36500.0,0.0,1.0,32.82,33.04,32.61,32.92,36500.0
14450086,VPRT,2006-02-14,33.09,33.09,32.59,32.82,54100.0,0.0,1.0,33.09,33.09,32.59,32.82,54100.0
14450087,VPRT,2006-02-15,32.8,32.8,31.27,31.55,132600.0,0.0,1.0,32.8,32.8,31.27,31.55,132600.0
14450088,VPRT,2006-02-16,31.74,32.22,30.25,31.98,160600.0,0.0,1.0,31.74,32.22,30.25,31.98,160600.0
14450089,VPRT,2006-02-17,32.13,32.78,32.11,32.36,139400.0,0.0,1.0,32.13,32.78,32.11,32.36,139400.0
14450090,VPRT,2006-02-21,32.2,33.58,32.2,33.26,61300.0,0.0,1.0,32.2,33.58,32.2,33.26,61300.0
14450091,VPRT,2006-02-22,33.35,33.65,33.15,33.45,86000.0,0.0,1.0,33.35,33.65,33.15,33.45,86000.0
14450092,VPRT,2006-02-23,33.62,33.7,33.08,33.5,42200.0,0.0,1.0,33.62,33.7,33.08,33.5,42200.0
14450093,VPRT,2006-02-24,33.64,35.64,33.64,34.64,108300.0,0.0,1.0,33.64,35.64,33.64,34.64,108300.0
14450094,VPRT,2006-02-27,34.84,37.02,34.81,36.08,241900.0,0.0,1.0,34.84,37.02,34.81,36.08,241900.0
14450095,VPRT,2006-02-28,35.95,37.75,35.73,36.16,176600.0,0.0,1.0,35.95,37.75,35.73,36.16,176600.0
14450096,VPRT,2006-03-01,36.01,36.35,35.77,35.99,109500.0,0.0,1.0,36.01,36.35,35.77,35.99,109500.0
14450097,VPRT,2006-03-02,36.13,36.13,34.7,34.81,118500.0,0.0,1.0,36.13,36.13,34.7,34.81,118500.0
14450098,VPRT,2006-03-03,34.92,34.92,32.5,32.82,369900.0,0.0,1.0,34.92,34.92,32.5,32.82,369900.0
14450099,VPRT,2006-03-06,32.69,33.15,32.57,33.13,91800.0,0.0,1.0,32.69,33.15,32.57,33.13,91800.0
14450100,VPRT,2006-03-07,33.0,33.18,32.47,32.5,59000.0,0.0,1.0,33.0,33.18,32.47,32.5,59000.0
14450101,VPRT,2006-03-08,32.65,32.91,32.58,32.7,31300.0,0.0,1.0,32.65,32.91,32.58,32.7,31300.0
14450102,VPRT,2006-03-09,33.01,33.25,31.56,32.0,143900.0,0.0,1.0,33.01,33.25,31.56,32.0,143900.0
14450103,VPRT,2006-03-10,31.84,31.85,31.0,31.25,65200.0,0.0,1.0,31.84,31.85,31.0,31.25,65200.0
14450104,VPRT,2006-03-13,31.1,31.1,29.68,30.5,208400.0,0.0,1.0,31.1,31.1,29.68,30.5,208400.0
14450105,VPRT,2006-03-14,30.36,32.41,30.36,31.87,116500.0,0.0,1.0,30.36,32.41,30.36,31.87,116500.0
14450106,VPRT,2006-03-15,32.01,32.38,31.87,32.15,92900.0,0.0,1.0,32.01,32.38,31.87,32.15,92900.0
14450107,VPRT,2006-03-16,32.02,33.07,32.02,32.98,42600.0,0.0,1.0,32.02,33.07,32.02,32.98,42600.0
14450108,VPRT,2006-03-17,33.08,33.37,33.08,33.25,99800.0,0.0,1.0,33.08,33.37,33.08,33.25,99800.0
14450109,VPRT,2006-03-20,33.44,34.25,33.44,34.03,130000.0,0.0,1.0,33.44,34.25,33.44,34.03,130000.0
14450110,VPRT,2006-03-21,33.88,34.13,32.32,32.85,119200.0,0.0,1.0,33.88,34.13,32.32,32.85,119200.0
14450111,VPRT,2006-03-22,32.86,33.06,32.7,32.77,38100.0,0.0,1.0,32.86,33.06,32.7,32.77,38100.0
14450112,VPRT,2006-03-23,32.9,33.0,32.69,32.84,32000.0,0.0,1.0,32.9,33.0,32.69,32.84,32000.0
14450113,VPRT,2006-03-24,32.9,32.9,31.65,32.25,122100.0,0.0,1.0,32.9,32.9,31.65,32.25,122100.0
14450114,VPRT,2006-03-27,32.35,32.35,31.04,31.4,295700.0,0.0,1.0,32.35,32.35,31.04,31.4,295700.0
14450115,VPRT,2006-03-28,31.4,31.49,28.88,29.82,526000.0,0.0,1.0,31.4,31.49,28.88,29.82,526000.0
14450116,VPRT,2006-03-29,29.25,29.3,28.38,29.1,2588900.0,0.0,1.0,29.25,29.3,28.38,29.1,2588900.0
14450117,VPRT,2006-03-30,29.21,29.82,28.62,29.75,922300.0,0.0,1.0,29.21,29.82,28.62,29.75,922300.0
14450118,VPRT,2006-03-31,29.75,30.01,29.3,29.85,531100.0,0.0,1.0,29.75,30.01,29.3,29.85,531100.0
14450119,VPRT,2006-04-03,29.85,30.0,29.64,29.92,286700.0,0.0,1.0,29.85,30.0,29.64,29.92,286700.0
14450120,VPRT,2006-04-04,29.67,29.99,29.3,29.74,167000.0,0.0,1.0,29.67,29.99,29.3,29.74,167000.0
14450121,VPRT,2006-04-05,29.5,29.74,29.2,29.71,401300.0,0.0,1.0,29.5,29.74,29.2,29.71,401300.0
14450122,VPRT,2006-04-06,29.62,30.01,29.29,30.0,345300.0,0.0,1.0,29.62,30.01,29.29,30.0,345300.0
14450123,VPRT,2006-04-07,29.75,30.1,29.75,29.99,526000.0,0.0,1.0,29.75,30.1,29.75,29.99,526000.0
14450124,VPRT,2006-04-10,29.86,29.95,29.69,29.7,214800.0,0.0,1.0,29.86,29.95,29.69,29.7,214800.0
14450125,VPRT,2006-04-11,29.68,29.95,29.49,29.67,245700.0,0.0,1.0,29.68,29.95,29.49,29.67,245700.0
14450126,VPRT,2006-04-12,29.65,29.76,29.65,29.7,317500.0,0.0,1.0,29.65,29.76,29.65,29.7,317500.0
14450127,VPRT,2006-04-13,29.71,31.25,29.71,31.25,1106200.0,0.0,1.0,29.71,31.25,29.71,31.25,1106200.0
14450128,VPRT,2006-04-17,31.37,32.5,31.37,32.45,582400.0,0.0,1.0,31.37,32.5,31.37,32.45,582400.0
14450129,VPRT,2006-04-18,32.09,33.5,32.08,33.0,574200.0,0.0,1.0,32.09,33.5,32.08,33.0,574200.0
14450130,VPRT,2006-04-19,33.1,33.1,32.7,32.96,427500.0,0.0,1.0,33.1,33.1,32.7,32.96,427500.0
14450131,VPRT,2006-04-20,33.0,33.0,32.5,32.69,185500.0,0.0,1.0,33.0,33.0,32.5,32.69,185500.0
14450132,VPRT,2006-04-21,32.6,32.65,32.02,32.44,186000.0,0.0,1.0,32.6,32.65,32.02,32.44,186000.0
14450133,VPRT,2006-04-24,32.4,32.4,31.5,32.08,230400.0,0.0,1.0,32.4,32.4,31.5,32.08,230400.0
14450134,VPRT,2006-04-25,32.24,32.55,32.24,32.33,616800.0,0.0,1.0,32.24,32.55,32.24,32.33,616800.0
14450135,VPRT,2006-04-26,32.43,33.7,32.06,33.5,898600.0,0.0,1.0,32.43,33.7,32.06,33.5,898600.0
14450136,VPRT,2006-04-27,33.76,36.45,33.26,34.15,1069500.0,0.0,1.0,33.76,36.45,33.26,34.15,1069500.0
14450137,VPRT,2006-04-28,33.9,33.9,31.51,31.98,843600.0,0.0,1.0,33.9,33.9,31.51,31.98,843600.0
14450138,VPRT,2006-05-01,27.57,33.32,27.55,32.49,1364800.0,0.0,1.0,27.57,33.32,27.55,32.49,1364800.0
14450139,VPRT,2006-05-02,32.5,32.5,31.97,32.0,347700.0,0.0,1.0,32.5,32.5,31.97,32.0,347700.0
14450140,VPRT,2006-05-03,32.1,32.1,31.6,31.9,472400.0,0.0,1.0,32.1,32.1,31.6,31.9,472400.0
14450141,VPRT,2006-05-04,31.8,32.1,31.75,32.0,654600.0,0.0,1.0,31.8,32.1,31.75,32.0,654600.0
14450142,VPRT,2006-05-05,32.3,32.91,32.25,32.52,657700.0,0.0,1.0,32.3,32.91,32.25,32.52,657700.0
14450143,VPRT,2006-05-08,32.89,33.14,32.44,33.1,624200.0,0.0,1.0,32.89,33.14,32.44,33.1,624200.0
14450144,VPRT,2006-05-09,33.28,34.68,33.24,34.15,739300.0,0.0,1.0,33.28,34.68,33.24,34.15,739300.0
14450145,VPRT,2006-05-10,34.5,34.5,33.65,33.87,310400.0,0.0,1.0,34.5,34.5,33.65,33.87,310400.0
14450146,VPRT,2006-05-11,34.0,34.0,32.31,32.31,366500.0,0.0,1.0,34.0,34.0,32.31,32.31,366500.0
14450147,VPRT,2006-05-12,32.3,32.31,30.02,30.96,916700.0,0.0,1.0,32.3,32.31,30.02,30.96,916700.0
14450148,VPRT,2006-05-15,30.74,30.85,29.75,30.28,309900.0,0.0,1.0,30.74,30.85,29.75,30.28,309900.0
14450149,VPRT,2006-05-16,29.92,31.13,29.79,31.0,264800.0,0.0,1.0,29.92,31.13,29.79,31.0,264800.0
14450150,VPRT,2006-05-17,31.09,31.34,29.85,29.91,120800.0,0.0,1.0,31.09,31.34,29.85,29.91,120800.0
14450151,VPRT,2006-05-18,30.0,31.49,30.0,31.0,673300.0,0.0,1.0,30.0,31.49,30.0,31.0,673300.0
14450152,VPRT,2006-05-19,31.1,31.46,30.79,31.0,760500.0,0.0,1.0,31.1,31.46,30.79,31.0,760500.0
14450153,VPRT,2006-05-22,30.68,31.0,29.75,29.91,308200.0,0.0,1.0,30.68,31.0,29.75,29.91,308200.0
14450154,VPRT,2006-05-23,30.0,30.7,29.99,30.11,261300.0,0.0,1.0,30.0,30.7,29.99,30.11,261300.0
