,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
14410992,VMW,2007-08-15,52.11,59.87,51.5,57.71,10678500.0,0.0,1.0,52.11,59.87,51.5,57.71,10678500.0
14410993,VMW,2007-08-16,60.99,61.49,52.71,56.99,6919500.0,0.0,1.0,60.99,61.49,52.71,56.99,6919500.0
14410994,VMW,2007-08-17,59.0,59.0,54.45,55.55,3086100.0,0.0,1.0,59.0,59.0,54.45,55.55,3086100.0
14410995,VMW,2007-08-20,56.05,57.5,55.61,57.33,2140900.0,0.0,1.0,56.05,57.5,55.61,57.33,2140900.0
14410996,VMW,2007-08-21,57.25,66.59,56.5,65.99,7369700.0,0.0,1.0,57.25,66.59,56.5,65.99,7369700.0
14410997,VMW,2007-08-22,70.18,73.95,66.56,66.85,10144400.0,0.0,1.0,70.18,73.95,66.56,66.85,10144400.0
14410998,VMW,2007-08-23,68.07,70.88,65.01,70.2,4347000.0,0.0,1.0,68.07,70.88,65.01,70.2,4347000.0
14410999,VMW,2007-08-24,70.2,72.65,69.45,71.3,3812400.0,0.0,1.0,70.2,72.65,69.45,71.3,3812400.0
14411000,VMW,2007-08-27,71.73,73.35,71.01,72.3,2393300.0,0.0,1.0,71.73,73.35,71.01,72.3,2393300.0
14411001,VMW,2007-08-28,71.9,72.1,66.5,69.78,3664100.0,0.0,1.0,71.9,72.1,66.5,69.78,3664100.0
14411002,VMW,2007-08-29,72.0,72.48,67.15,68.2,3580700.0,0.0,1.0,72.0,72.48,67.15,68.2,3580700.0
14411003,VMW,2007-08-30,67.58,70.0,66.25,68.46,1731300.0,0.0,1.0,67.58,70.0,66.25,68.46,1731300.0
14411004,VMW,2007-08-31,69.82,70.11,68.54,68.89,921700.0,0.0,1.0,69.82,70.11,68.54,68.89,921700.0
14411005,VMW,2007-09-04,69.06,69.13,67.25,67.45,1353800.0,0.0,1.0,69.06,69.13,67.25,67.45,1353800.0
14411006,VMW,2007-09-05,66.55,66.59,63.65,64.21,2245400.0,0.0,1.0,66.55,66.59,63.65,64.21,2245400.0
14411007,VMW,2007-09-06,64.6,70.1,64.09,69.79,2599400.0,0.0,1.0,64.6,70.1,64.09,69.79,2599400.0
14411008,VMW,2007-09-07,67.01,71.3,66.8,69.5,2668300.0,0.0,1.0,67.01,71.3,66.8,69.5,2668300.0
14411009,VMW,2007-09-10,71.99,79.15,68.85,76.76,6667400.0,0.0,1.0,71.99,79.15,68.85,76.76,6667400.0
14411010,VMW,2007-09-11,78.7,82.75,76.5,76.65,10613600.0,0.0,1.0,78.7,82.75,76.5,76.65,10613600.0
14411011,VMW,2007-09-12,78.44,80.65,77.06,78.3,6005300.0,0.0,1.0,78.44,80.65,77.06,78.3,6005300.0
14411012,VMW,2007-09-13,79.55,80.55,76.53,77.79,3253800.0,0.0,1.0,79.55,80.55,76.53,77.79,3253800.0
14411013,VMW,2007-09-14,77.22,79.55,76.55,77.92,3093300.0,0.0,1.0,77.22,79.55,76.55,77.92,3093300.0
14411014,VMW,2007-09-17,76.15,77.6,73.19,73.7,4773600.0,0.0,1.0,76.15,77.6,73.19,73.7,4773600.0
14411015,VMW,2007-09-18,75.35,75.75,72.8,73.9,2931900.0,0.0,1.0,75.35,75.75,72.8,73.9,2931900.0
14411016,VMW,2007-09-19,75.3,78.83,74.86,77.6,4228400.0,0.0,1.0,75.3,78.83,74.86,77.6,4228400.0
14411017,VMW,2007-09-20,77.66,79.27,76.17,76.65,2464600.0,0.0,1.0,77.66,79.27,76.17,76.65,2464600.0
14411018,VMW,2007-09-21,77.35,79.31,76.6,79.31,4114400.0,0.0,1.0,77.35,79.31,76.6,79.31,4114400.0
14411019,VMW,2007-09-24,81.0,85.17,80.32,83.83,5649300.0,0.0,1.0,81.0,85.17,80.32,83.83,5649300.0
14411020,VMW,2007-09-25,82.31,85.0,82.0,83.23,2964600.0,0.0,1.0,82.31,85.0,82.0,83.23,2964600.0
14411021,VMW,2007-09-26,83.99,84.4,82.11,82.36,1539200.0,0.0,1.0,83.99,84.4,82.11,82.36,1539200.0
14411022,VMW,2007-09-27,83.05,84.05,82.05,83.12,1855400.0,0.0,1.0,83.05,84.05,82.05,83.12,1855400.0
14411023,VMW,2007-09-28,83.89,85.52,82.5,85.0,3419300.0,0.0,1.0,83.89,85.52,82.5,85.0,3419300.0
14411024,VMW,2007-10-01,84.75,89.23,83.62,88.62,3845800.0,0.0,1.0,84.75,89.23,83.62,88.62,3845800.0
14411025,VMW,2007-10-02,88.97,92.52,88.36,92.42,2869600.0,0.0,1.0,88.97,92.52,88.36,92.42,2869600.0
14411026,VMW,2007-10-03,92.43,93.98,87.5,88.25,3965800.0,0.0,1.0,92.43,93.98,87.5,88.25,3965800.0
14411027,VMW,2007-10-04,89.15,90.5,88.0,89.57,1754900.0,0.0,1.0,89.15,90.5,88.0,89.57,1754900.0
14411028,VMW,2007-10-05,92.15,92.15,89.22,91.13,1881600.0,0.0,1.0,92.15,92.15,89.22,91.13,1881600.0
14411029,VMW,2007-10-08,91.21,95.9,91.15,95.09,3030600.0,0.0,1.0,91.21,95.9,91.15,95.09,3030600.0
14411030,VMW,2007-10-09,97.22,101.89,96.11,101.61,5864000.0,0.0,1.0,97.22,101.89,96.11,101.61,5864000.0
14411031,VMW,2007-10-10,102.51,107.49,101.61,107.04,4765700.0,0.0,1.0,102.51,107.49,101.61,107.04,4765700.0
14411032,VMW,2007-10-11,109.98,114.88,99.06,102.69,11110400.0,0.0,1.0,109.98,114.88,99.06,102.69,11110400.0
14411033,VMW,2007-10-12,103.13,107.37,98.05,102.98,6356900.0,0.0,1.0,103.13,107.37,98.05,102.98,6356900.0
14411034,VMW,2007-10-15,104.49,105.5,96.29,98.76,4837100.0,0.0,1.0,104.49,105.5,96.29,98.76,4837100.0
