,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
4572,AA,2016-11-01,22.1,23.55,21.78,23.0,32216510.0,0.0,1.0,22.1,23.55,21.78,23.0,32216510.0
4573,AA,2016-11-02,22.67,23.265,22.6358,22.91,10755328.0,0.0,1.0,22.67,23.265,22.6358,22.91,10755328.0
4574,AA,2016-11-03,22.96,24.3493,22.94,24.15,8083097.0,0.0,1.0,22.96,24.3493,22.94,24.15,8083097.0
4575,AA,2016-11-04,23.82,25.5,23.56,25.2,6878500.0,0.0,1.0,23.82,25.5,23.56,25.2,6878500.0
4576,AA,2016-11-07,25.54,26.41,24.89,25.08,8377025.0,0.0,1.0,25.54,26.41,24.89,25.08,8377025.0
4577,AA,2016-11-08,24.3,26.59,24.3,26.4,6469979.0,0.0,1.0,24.3,26.59,24.3,26.4,6469979.0
4578,AA,2016-11-09,26.83,29.14,26.0,28.72,10675856.0,0.0,1.0,26.83,29.14,26.0,28.72,10675856.0
4579,AA,2016-11-10,29.08,29.7,28.3,29.1,8189887.0,0.0,1.0,29.08,29.7,28.3,29.1,8189887.0
4580,AA,2016-11-11,29.18,29.99,27.63,29.3,5337239.0,0.0,1.0,29.18,29.99,27.63,29.3,5337239.0
4581,AA,2016-11-14,29.5,29.94,28.61,29.62,5156737.0,0.0,1.0,29.5,29.94,28.61,29.62,5156737.0
4582,AA,2016-11-15,28.94,30.23,28.83,30.21,3668883.0,0.0,1.0,28.94,30.23,28.83,30.21,3668883.0
4583,AA,2016-11-16,29.69,31.69,29.66,31.42,6150098.0,0.0,1.0,29.69,31.69,29.66,31.42,6150098.0
4584,AA,2016-11-17,31.3,32.02,30.77,31.85,4693203.0,0.0,1.0,31.3,32.02,30.77,31.85,4693203.0
4585,AA,2016-11-18,31.73,31.77,30.16,30.42,4421730.0,0.0,1.0,31.73,31.77,30.16,30.42,4421730.0
4586,AA,2016-11-21,30.89,30.98,29.500999999999998,30.69,2986107.0,0.0,1.0,30.89,30.98,29.500999999999998,30.69,2986107.0
4587,AA,2016-11-22,31.1,31.91,30.54,31.34,4182721.0,0.0,1.0,31.1,31.91,30.54,31.34,4182721.0
4588,AA,2016-11-23,31.0,31.93,30.0,31.51,4112265.0,0.0,1.0,31.0,31.93,30.0,31.51,4112265.0
4589,AA,2016-11-25,31.24,32.19,31.11,31.7,3109628.0,0.0,1.0,31.24,32.19,31.11,31.7,3109628.0
4590,AA,2016-11-28,31.48,31.8,30.7,30.86,5121935.0,0.0,1.0,31.48,31.8,30.7,30.86,5121935.0
4591,AA,2016-11-29,30.02,30.4999,29.73,29.73,4927708.0,0.0,1.0,30.02,30.4999,29.73,29.73,4927708.0
4592,AA,2016-11-30,30.06,30.44,28.85,28.97,5131539.0,0.0,1.0,30.06,30.44,28.85,28.97,5131539.0
4593,AA,2016-12-01,28.84,29.42,28.6,28.88,5006186.0,0.0,1.0,28.84,29.42,28.6,28.88,5006186.0
4594,AA,2016-12-02,28.86,29.625,28.73,29.04,3870676.0,0.0,1.0,28.86,29.625,28.73,29.04,3870676.0
4595,AA,2016-12-05,29.03,31.2768,28.89,31.22,7034136.0,0.0,1.0,29.03,31.2768,28.89,31.22,7034136.0
4596,AA,2016-12-06,30.71,31.19,30.21,31.15,3248595.0,0.0,1.0,30.71,31.19,30.21,31.15,3248595.0
4597,AA,2016-12-07,31.3,31.89,30.7653,30.9,5778259.0,0.0,1.0,31.3,31.89,30.7653,30.9,5778259.0
4598,AA,2016-12-08,31.28,31.84,30.8,31.31,3064978.0,0.0,1.0,31.28,31.84,30.8,31.31,3064978.0
4599,AA,2016-12-09,31.31,32.11,31.04,32.05,4344295.0,0.0,1.0,31.31,32.11,31.04,32.05,4344295.0
4600,AA,2016-12-12,32.16,32.35,30.85,31.24,3416012.0,0.0,1.0,32.16,32.35,30.85,31.24,3416012.0
4601,AA,2016-12-13,31.4,31.73,30.03,30.24,4215143.0,0.0,1.0,31.4,31.73,30.03,30.24,4215143.0
4602,AA,2016-12-14,30.11,31.32,30.03,30.45,3176106.0,0.0,1.0,30.11,31.32,30.03,30.45,3176106.0
4603,AA,2016-12-15,30.16,30.44,29.65,29.79,3753185.0,0.0,1.0,30.16,30.44,29.65,29.79,3753185.0
4604,AA,2016-12-16,29.65,30.42,29.16,29.4,8131428.0,0.0,1.0,29.65,30.42,29.16,29.4,8131428.0
4605,AA,2016-12-19,28.89,29.49,28.75,29.29,2569496.0,0.0,1.0,28.89,29.49,28.75,29.29,2569496.0
4606,AA,2016-12-20,29.9,30.33,29.77,30.16,3826971.0,0.0,1.0,29.9,30.33,29.77,30.16,3826971.0
4607,AA,2016-12-21,30.19,30.43,30.02,30.43,1811751.0,0.0,1.0,30.19,30.43,30.02,30.43,1811751.0
4608,AA,2016-12-22,30.21,30.35,29.54,29.75,3766694.0,0.0,1.0,30.21,30.35,29.54,29.75,3766694.0
4609,AA,2016-12-23,29.79,30.13,29.34,29.71,2887430.0,0.0,1.0,29.79,30.13,29.34,29.71,2887430.0
4610,AA,2016-12-27,29.58,30.04,29.4,29.65,1708938.0,0.0,1.0,29.58,30.04,29.4,29.65,1708938.0
4611,AA,2016-12-28,29.78,30.17,29.35,29.43,2751053.0,0.0,1.0,29.78,30.17,29.35,29.43,2751053.0
4612,AA,2016-12-29,29.43,29.44,28.6,28.89,3224941.0,0.0,1.0,29.43,29.44,28.6,28.89,3224941.0
4613,AA,2016-12-30,28.97,29.3779,28.01,28.08,2685997.0,0.0,1.0,28.97,29.3779,28.01,28.08,2685997.0
4614,AA,2017-01-03,28.6,28.87,28.17,28.83,2746634.0,0.0,1.0,28.6,28.87,28.17,28.83,2746634.0
4615,AA,2017-01-04,29.02,30.3,29.02,30.26,3339121.0,0.0,1.0,29.02,30.3,29.02,30.26,3339121.0
4616,AA,2017-01-05,30.18,30.93,30.115,30.65,2444552.0,0.0,1.0,30.18,30.93,30.115,30.65,2444552.0
4617,AA,2017-01-06,30.69,31.1,30.31,30.68,2086333.0,0.0,1.0,30.69,31.1,30.31,30.68,2086333.0
4618,AA,2017-01-09,30.88,30.88,29.215,29.48,4199908.0,0.0,1.0,30.88,30.88,29.215,29.48,4199908.0
4619,AA,2017-01-10,29.83,31.1,29.73,30.98,3824409.0,0.0,1.0,29.83,31.1,29.73,30.98,3824409.0
4620,AA,2017-01-11,31.08,32.0,31.08,31.97,3068269.0,0.0,1.0,31.08,32.0,31.08,31.97,3068269.0
4621,AA,2017-01-12,33.0,33.5,32.51,33.04,4519604.0,0.0,1.0,33.0,33.5,32.51,33.04,4519604.0
4622,AA,2017-01-13,32.82,33.43,32.53,33.01,3026692.0,0.0,1.0,32.82,33.43,32.53,33.01,3026692.0
4623,AA,2017-01-17,32.97,33.04,32.52,32.64,1382009.0,0.0,1.0,32.97,33.04,32.52,32.64,1382009.0
4624,AA,2017-01-18,32.95,34.83,32.64,34.81,6417754.0,0.0,1.0,32.95,34.83,32.64,34.81,6417754.0
4625,AA,2017-01-19,34.22,35.63,34.18,35.42,5050105.0,0.0,1.0,34.22,35.63,34.18,35.42,5050105.0
4626,AA,2017-01-20,35.4,35.74,34.93,35.66,5330764.0,0.0,1.0,35.4,35.74,34.93,35.66,5330764.0
4627,AA,2017-01-23,35.92,36.395,35.455,36.29,5244644.0,0.0,1.0,35.92,36.395,35.455,36.29,5244644.0
4628,AA,2017-01-24,37.18,38.38,37.18,37.5,11911148.0,0.0,1.0,37.18,38.38,37.18,37.5,11911148.0
4629,AA,2017-01-25,38.58,38.94,36.31,36.53,13583342.0,0.0,1.0,38.58,38.94,36.31,36.53,13583342.0
4630,AA,2017-01-26,36.22,37.0699,35.51,36.3,5735365.0,0.0,1.0,36.22,37.0699,35.51,36.3,5735365.0
4631,AA,2017-01-27,36.3,37.39,36.27,36.67,3617786.0,0.0,1.0,36.3,37.39,36.27,36.67,3617786.0
4632,AA,2017-01-30,36.48,36.59,35.77,36.55,3002400.0,0.0,1.0,36.48,36.59,35.77,36.55,3002400.0
4633,AA,2017-01-31,36.78,37.23,36.01,36.45,2690080.0,0.0,1.0,36.78,37.23,36.01,36.45,2690080.0
4634,AA,2017-02-01,36.58,37.19,36.2,36.26,2905397.0,0.0,1.0,36.58,37.19,36.2,36.26,2905397.0
